tweet_id,tweet_url,tweet_text,stance,persuasiveness,split,label
1.1485010653080044e+18,https://t.co/VQP1FHaWAg,"Let's McGyver some Sanity in America!

You are not pro-life if you lock children in cages, deny them lunch at school, or cut programs for the disabled!

And, good Christians don't applaud rapists, con men, &amp; hate!

Hate Fixes NADDA! It just creates more problems!

🧰📐🔎⛏️🔧🛠️🧰 https://t.co/VQP1FHaWAg",support,no,train,1
1.1038729925372764e+18,https://t.co/zsyXYSeBkp,A child deserves a chance at life. A child deserves a future. A child deserves to be loved. We will always fight for the innocent unborn. #ProLife https://t.co/zsyXYSeBkp,oppose,no,train,0
1.1515285836235858e+18,https://t.co/qSWvDX5MnM,"Dear prolifers: girls as young as 10, 11, 12 and so on should NOT be giving birth. Forcing them to stay pregnant is harmful both mentally and physically. They are CHILDREN who you are putting at risk. You all are sick #ProLife #ProChoice https://t.co/qSWvDX5MnM",support,no,train,1
1.10016684402611e+18,https://t.co/hxH8tFIHUu,The many States will attempt to amend their constitutions to give the fetus  #HumanRights. Many people vote “yes” to these amendments and not realize what is truly at stake here. Women are being forced to give up their right to control their bodies... https://t.co/hxH8tFIHUu https://t.co/ueRoftJIBQ,support,no,train,1
1.0218304135500677e+18,https://t.co/5whvEEtoQR,"Every #abortion is wrong, no matter what method is used; every child must be protected. #prolife #prochoice #lovethemboth https://t.co/5whvEEtoQR",oppose,yes,train,0
1.1011256279843922e+18,https://t.co/ANPKCpAMEF,"In today's addition of ""Let's Complicate It"", we look at adoption. Often pro-life proponents, taut adoption as an alternative to abortions that 'harms no one', but let's complicate that idea! 
https://t.co/ANPKCpAMEF https://t.co/IYPtyZRaGC",support,no,train,1
1.021869652329214e+18,https://t.co/goW1ikHTrP,"FDA Report: Abortion Pill Kills 22 Women, Injures Thousands More: At least 22 women in America have died and thousands more have experienced serious complications from taking abortion pills, according to updated guidance from the Food and Drug… https://t.co/goW1ikHTrP https://t.co/pTEa7vDbxz",oppose,yes,train,0
1.1512732049268818e+18,https://t.co/yJrve4Fv65,"People must be free to congregate for prayer on any public grounds. #BufferZones are an assault on #religiousfreedom. And they deprive women in crisis pregnancy of the vital support they so desperately need. 

#NoBufferZones #ProlifeIsProwoman  #Prolife https://t.co/yJrve4Fv65",oppose,no,train,0
1.0225584210469765e+18,https://t.co/1pJyi3StP7,"""We also know that such restrictions would never be placed on men, which exposes as false the notion that women have all the rights and protections of male citizens of the United States.”
#WGSS chair notes implications of moves to undermine Roe v. Wade. https://t.co/1pJyi3StP7 https://t.co/aXe4FMdZsc",support,no,train,1
1.141294560989143e+18,https://t.co/yQjXkxtcrh,We provide safe and pain-free abortion pills in Sandton and womb cleaning pills at affordable prices. Call to order or deliveries at +27727793390  https://t.co/yQjXkxtcrh https://t.co/PYvlz1f0Se,support,no,train,1
1.1453685536228434e+18,https://t.co/y44as68BqB,Pregnancy centers save lives. 🌼 #prolife #prowoman #help #hope #support https://t.co/y44as68BqB,oppose,no,train,0
1.0418953287885742e+18,https://t.co/bSoU4565Mb,"The Bible says that those who purposefully kill a fetus in the womb would incur the death penalty Ex. 21:22, 23 https://t.co/bSoU4565Mb … https://t.co/9l2kkQRpgl",oppose,yes,train,0
1.143827609471656e+18,https://t.co/mvJNy8O3VQ,"Interesting, but unsurprising, how abortion precipitates the abuse of born children. Better never born than newborn. #abortion #reproductiverights #prochoice #prolife https://t.co/mvJNy8O3VQ https://t.co/oWvlwKdcNw",oppose,yes,train,0
1.1015292544231301e+18,https://t.co/63dHe9VwJA,".@TNGOP, there’s nothing pro-life about throwing women in jail for seeking abortions six weeks after conception. If you want to promote a culture of life &amp; reduce abortions in Tennessee, let’s expand Medicaid today. It’ll save taxpayer dollars, rural hospitals, and human lives. https://t.co/63dHe9VwJA",support,no,train,1
1.1015575131395113e+18,https://t.co/iaL035lLOx,"The GOP's extremist rhetoric and outright lies about abortion have REAL consequences. Research has shown that death threats against abortion providers have DOUBLED and clinic obstruction has TRIPLED since Trump's election in 2016. Inciting violence isn't ""pro-life."" #HowDareYou https://t.co/iaL035lLOx",support,no,train,1
1.1510025546727793e+18,https://t.co/2lBf8ZEjLw,Heartbeat bills are harmful and scientifically inaccurate. There is no heart at six weeks. Prolifers think that there is a miniature heart version of theirs when that’s not true. No cardiovascular system exist and neither does a nervous system. #prolife #prochoice https://t.co/2lBf8ZEjLw,support,no,train,1
1.1008407035951718e+18,https://t.co/xaSPNftZZy,"Choose-Day Tuesday is right around the corner, and this month you'll have an opportunity to support The College Student Right to Access Act, which would expand abortion access across the state. #SB24 

Join us at the NARAL SF Office on March 5th, from 6:00PM-8:00PM. 

#ProChoice https://t.co/xaSPNftZZy",support,no,train,1
1.0989958461867049e+18,https://t.co/etWg6wHB1b,"Overturning Roe v. Wade isn't just an issue for pregnant people's physical safety - it would also create huge systemic problems in terms of mass incarceration, economic injustice, and racial injustice. https://t.co/etWg6wHB1b https://t.co/ouKmDn2kk0",support,no,train,1
1.1439889769628508e+18,https://t.co/2zfPHNFgyh,"There's a run of unexpected patient deaths.
First a vibrant young woman suddenly dies of #sepsis after an abortion. And two days later, it happens again.
Murder? An inside job? 
#Fanatics #prochoice #evil 
https://t.co/2zfPHNFgyh https://t.co/pOKDWcPMMM",oppose,no,train,0
1.1492643916296929e+18,https://t.co/H1h9CoTuta,To my Anti-abortionists... I present you proof of life. Sperm can live 5 days outside of their original host body. A pre-22 week baby would die almost instantly when leaving its host body.  When you ejaculate without purpose (procreation) you a killing a living cell. #prolife https://t.co/H1h9CoTuta,oppose,no,train,0
1.1418822346617364e+18,https://t.co/uBUXCVGuJh,"Possible legal challenges to sweeping new abortion law limited in scope, pro-life legal expert says
https://t.co/uBUXCVGuJh https://t.co/RryE8WkFq1",oppose,no,train,0
1.1477534881658675e+18,https://t.co/AoL5Opm2a4,Abortion betrays women. We deserve better. #rallyforlife2019 #westandforlife #prolife #abortion #ireland #UK #NorthernIreland https://t.co/AoL5Opm2a4,oppose,no,train,0
1.152594285067477e+18,https://t.co/84MrDxpEqY,Out now in Belfast city centre! Northern Ireland’s pro-life laws protect the two lives in every pregnancy — mothers and babies always deserve equal protection. #OurLawsMatter because #EveryLifeMatters 💙 https://t.co/84MrDxpEqY,oppose,no,train,0
1.1101861583052268e+18,https://t.co/vyHhToPLFV,The KS House is set to debate the Abortion Pill Reversal Act today. This important pro-life legislation informs those seeking abortions that some chemical abortions can successfully be reversed if the mother seeks help quickly enough after changing her mind. #ksleg #prolife https://t.co/vyHhToPLFV,oppose,yes,train,0
1.1087905520347546e+18,https://t.co/8iD5xaV2oY,Pro-life extends beyond ending the epidemic of infanticide. #TeamElevate will continue to support President Trump’s efforts in the Sunshine State and beyond to end human trafficking and protect the survivors of this plague. https://t.co/8iD5xaV2oY,oppose,no,train,0
1.1415014231773594e+18,https://t.co/FoQNDhhpl3,"#ForcedBirth advocates have no #RespectForWomen! Giving priority to an unborn fetus against the wishes of a person gives them less autonomy over their body than people have over their dead body! Another example of how the extreme ""#prolife"" moment tramples over individual rights! https://t.co/FoQNDhhpl3",support,yes,train,1
1.1371342430695506e+18,https://t.co/YpzJvJgQMa,"“Laws that revictimize and retraumatize victims are unconscionable. As elected prosecutors with charging discretion, we choose not to prosecute individuals pursuant to these deeply concerning laws.”

An Alabama DA signs letter on upholding Roe v. Wade. https://t.co/YpzJvJgQMa https://t.co/K7ghtZnVtZ",oppose,yes,train,0
1.1016020222127555e+18,https://t.co/IJoAHj6lVr,".@FemFlagCorps:
""Abortion bans are designed to make abortion inaccessible. This hurts poor and marginalized communities the most. The church will always be able to afford abortions for their nuns and mistresses"" #stopthebans #prochoice #abortolegalYA 
 https://t.co/IJoAHj6lVr https://t.co/nHUcljgRm8",support,no,train,1
1.1015831521019494e+18,https://t.co/cdVHAoS68y,"Life is not easy. Not obvious. Life is life, and humans are humans. What's important though is having this choice, so we can make it for ourselves. 
#abortionstigma #prochoice https://t.co/cdVHAoS68y",support,no,train,1
1.0998755806847181e+18,https://t.co/yw4J3i5D9x,"Behold, a 6-week old, Human fetus. The Globalist Left calls this baby a Nuisance, for any mother seeking an abortion. 
In the 2nd photo, is what MAY be fossilized microbes from Mars. The left calls this, PROOF OF LIFE. 
A malevolent form of hypocrisy, eh. https://t.co/yw4J3i5D9x",oppose,no,train,0
1.1475302598872064e+18,https://t.co/sbsym3fA1Z,"This is the future pro lifers want for women. One where the government will regulate how they eat, exercise and live their lives. Women will loose the freedom to choose what they want. Anything that could affect their pregnancy will be criminalized. #Prolife #prochoice https://t.co/sbsym3fA1Z",support,yes,train,1
1.020292492183384e+18,https://t.co/bcB4IPPMQ6,"""Safe and legal"" abortion has endangered and killed countless women. Learn more: https://t.co/bcB4IPPMQ6 #abortionhurtswomen #abortion #endabortion #womendeservebetter #lovethemboth #prolife #prowoman https://t.co/W6Ex6zXvmx",oppose,yes,train,0
1.1472080012893594e+18,https://t.co/vMs018Wclm,"Doing a #prolife sensitization campaign at Moi University.

Abortion poses a  great threat to the lives and the future  of many students in our institutions. Many lives have been lost, many are suffering from the effects of abortion. #endabortion #teteauhai #unbornlivesmatter https://t.co/vMs018Wclm",oppose,no,train,0
1.1077842873681633e+18,https://t.co/sElyFTOvru,“The U.S. abortion rate is lower than it has ever been (even before Roe v. Wade).” #ProFamilyDays https://t.co/sElyFTOvru,oppose,no,train,0
1.141294875008258e+18,https://t.co/vCx7qArxib,A Sledgehammer To Hammer A Nail... This Will Do Major Damage To The Anti-Abortion Movement. https://t.co/vCx7qArxib,oppose,no,train,0
1.1501179278798848e+18,https://t.co/zA4IjNakqu,"""BreakPoint: Abortion and the Worldview of Irresponsibility - Pro-Life Critique Becomes Pro-Death Talking Point"" 

Abortion doesn't support women, it doesn't liberate women. It harms them.

#WomensRights #Abortion #ProLife #ProWoman https://t.co/zA4IjNakqu https://t.co/rH3zVyQCoI",oppose,yes,train,0
1.1514245931959132e+18,https://t.co/w8IOUiQnEd,"Adoption is a form of ""procreation"" which occurs through acceptance, generosity and love. Adoption is an alternative to abortion.
 
Adoption is a Choice For Life

#ChooseLife #AdoptionNOTAbortion #ChooseADOPTIONnotAbortion           #SayNoToEugenics #PrayToEndAbortion #ProLife https://t.co/w8IOUiQnEd",oppose,yes,train,0
1.135345278255489e+18,https://t.co/8yVfcRvZwu,"We need abortion control laws: abortion is deadly.

#abortion #plannedparenthood #prolife #prochoice #proabortion #guns #gunlaws #gunban https://t.co/8yVfcRvZwu",oppose,yes,train,0
1.1087515560134492e+18,https://t.co/Q5Ry2CeSgC,"Behind the eugenic movement there is only selfishness. The killing of defenceless and innocent children will never be able to produce happiness or peace. 

#SayNoToEugenics #PrayToEndAbortion #ProLife #AbortionIsMurder #UnbornLivesMatter #CreatedByGod 

#WorldDownSyndromeDay https://t.co/Q5Ry2CeSgC",oppose,yes,train,0
1.1442868489420595e+18,https://t.co/QcVXoJsgfq,Reproductive justice becomes injustice when the human in the womb becomes a murder victim. #prolife #reproductivejustice #thursdaymorning #ThursdayThoughts #demdebate #democraticdebate #maga #kag #prochoice https://t.co/QcVXoJsgfq,oppose,yes,train,0
1.1460985066349527e+18,https://t.co/rr9YoCPkrJ,"Because of your abortion, your future child couldn't go on to die killing Iraqi children. How dare you.

im ngl this is one of the hottest pro-life takes i have ever heard

also im 100% sure thats a fucking in-n-out box you can see grease stains. https://t.co/rr9YoCPkrJ",support,no,train,1
1.1412838251143741e+18,https://t.co/yQjXkxtcrh,We provide safe and pain-free abortion pills in Tembisa and womb cleaning pills at affordable prices. Call to order or deliveries at +27727793390  https://t.co/yQjXkxtcrh https://t.co/UPAYlzHm4g,support,no,train,1
1.1087520863496356e+18,https://t.co/YqXJ5TJAe9,"Eugenics and abortion violate the Natural Law Right to Life. 

IS THIS THE FACE OF YOUR ENEMY?

#SayNoToEugenics #ProLife #AbortionIsMurder #CreatedByGOD

#WorldDownSyndromeDay https://t.co/YqXJ5TJAe9",oppose,yes,train,0
1.1031872948219904e+18,https://t.co/8VK21wGHj0,"Unplanned pregnancy in Mhlume?

Need an abortion in Mhlume?

We provide affordable abortion care in Mhlume. Call us and ask any questions at +27727793390. https://t.co/8VK21wGHj0 https://t.co/8yrs2C1BF4",support,no,train,1
1.1667133197949256e+18,https://t.co/5s2NKFteAd,Those that are Pro-Birth are not always Pro-Life. Too many children who are unwanted are left to simply fall through the cracks! #Fundamentalism #Indifference - https://t.co/5s2NKFteAd,support,yes,train,1
1.1334379273152143e+18,https://t.co/dPSaX7r0bX,I Had An Illegal Abortion Before Roe v. Wade. Bans Will Only Make The Procedure Unsafe. https://t.co/dPSaX7r0bX #sexyfishbar #sexyapplekeyboard #sexybread #sexybiggboss https://t.co/qjWBYpVKvH,support,no,train,1
1.1417393827827261e+18,https://t.co/Z6Nycut5v5,"""Abortion is killing. Nobody can argue with that."" -Dr. Bertran Wainer #ProLife #prochoice #prochoiceconcedes @HumanDefenseINI https://t.co/Z6Nycut5v5",oppose,yes,train,0
1.1031657625151898e+18,https://t.co/rlD2H9tq15,"“The people who have worked to push abortion care out of reach seem to forget a simple fact – when abortion care is not legal it forces many people into desperate and harmful situations.” @JordanHevenor, Co-Director #repro4ri #RHCA https://t.co/rlD2H9tq15",support,no,train,1
1.1057290350391091e+18,https://t.co/R38TapYb7t,A federal appeals court just held that abortion providers have no constitutional protections https://t.co/R38TapYb7t https://t.co/9TQOAM2OKo,oppose,no,train,0
1.1388443855615222e+18,https://t.co/yQjXkxtcrh,We provide safe and pain-free abortion pills in Randburg and womb cleaning pills at affordable prices. Call to order or deliveries at +27727793390  https://t.co/yQjXkxtcrh https://t.co/bfNf6X0ZGy,support,no,train,1
1.148977082904535e+18,https://t.co/x7GTtCL3ed,Please join us! You can bring help and hope to women and children in need. Purchase your tickets at: https://t.co/x7GTtCL3ed. #ProLife is #ProWoman. https://t.co/6vGFm1IKfb,oppose,no,train,0
1.1361808413386097e+18,https://t.co/DdWoQeKiVS,"US abortion policy is 'extremist hate' and 'torture', says UN commissioner https://t.co/DdWoQeKiVS #GBV #ProChoice https://t.co/0HYoxSsHXt",oppose,no,train,0
1.149351190733312e+18,https://t.co/VIjy8MQwi8,"Abortion doesn’t take away the wound of rape, incest, or a bad decision..it only creates more scars, damage &amp; pain. We are here to help! #prolife #prolifegeneration #prowomen #abortion #hopekidsinc https://t.co/VIjy8MQwi8",oppose,no,train,0
1.1481824496812524e+18,https://t.co/UmY8JeXQCJ,Abortion is a vicious cruelty. #ProLife https://t.co/UmY8JeXQCJ,oppose,no,train,0
1.1475091320497357e+18,https://t.co/UJVvkqqQRH,Rally for life in #Ireland is under way. Abortion betrays women. We deserve better #rallyforlife2019 #westandforlife #abortion #prolife https://t.co/UJVvkqqQRH,oppose,no,train,0
1.0990235685185618e+18,https://t.co/XBIuMGgzA9,"Tiny humans deserve the right to life, liberty and the pursuit of happiness. #StandWithLife #Prolife https://t.co/XBIuMGgzA9",oppose,no,train,0
1.0218726747112489e+18,https://t.co/zawwR2AMb9,"“My mom was raped, and some argue she had the choice to kill me, but she shouldn’t have.” -Passerby at the Ohio Statehouse.

Abortion murders innocent people. https://t.co/zawwR2AMb9",oppose,no,train,0
1.1015667871566561e+18,https://t.co/gF2mBJX9u6,"The GOP's extremist LIES about abortion have REAL consequences. Research has shown that death threats against abortion providers have DOUBLED and clinic obstruction has TRIPLED since Trump's election in 2016. Inciting violence isn't ""pro-life."" #HowDareYou https://t.co/gF2mBJX9u6",support,no,train,1
